DR_Method,Trading_Model,train_accuracy,accuracy,overfit_gap,f1,sharpe_ratio,cumulative_return
PCA,Ridge,0.608141913076558,0.46557377049180326,0.1425681425847547,0.4378529675430176,1.8319937994828828,254.60164695461563
PCA,Random-Forest,0.6598825663862566,0.4672131147540983,0.19266945163215832,0.42678833085265405,1.7553189024265723,238.97640547999035
PCA,Gradient-Boosting,0.6328477049781608,0.4926229508196721,0.14022475415848867,0.4866691384197598,2.0150409731101893,312.9077250793677
Kernel-PCA,Ridge,0.608303514108408,0.5655737704918032,0.042729743616604754,0.6835997614139611,3.2931075961493166,722.2071268370803
Kernel-PCA,Random-Forest,0.6876959038182393,0.46311475409836067,0.22458114971987864,0.40617314289580425,1.64775754852176,221.35170435820228
Kernel-PCA,Gradient-Boosting,0.6635506504675682,0.4877049180327869,0.1758457324347813,0.5379584954066495,2.417717525005845,417.2856114303353
Quantum-Inspired,Ridge,0.608141913076558,0.46557377049180326,0.1425681425847547,0.4378529675430176,1.8319937994828828,254.60164695461563
Quantum-Inspired,Random-Forest,0.6843635710166687,0.45491803278688525,0.22944553822978342,0.3890585409162735,1.6082586458781787,229.0397908382945
Quantum-Inspired,Gradient-Boosting,0.6275843546626584,0.42950819672131146,0.19807615794134692,0.31130812450955236,1.0730296597679605,42.823751674430305
